PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_male,Embarked_Q,Embarked_S
710,1,0.8273772438659699,"Moubarek, Master. Halim Gonios (""William George"")",,0.4327933656785018,0.7676298785983874,2661,-0.3414522396297103,147,True,False,False
440,0,-0.3693648410115938,"Kvillner, Mr. Johan Henrik Johannesson",0.0896151538275891,-0.4745451962498395,-0.4736736092984604,C.A. 18723,-0.4370074380797968,147,True,False,True
841,0,0.8273772438659699,"Alhomaki, Mr. Ilmari Rudolf",-0.6681525950197601,-0.4745451962498395,-0.4736736092984604,SOTON/O2 3101287,-0.4888542575852486,147,True,False,True
721,1,-0.3693648410115938,"Harper, Miss. Annie Jessie ""Nina""",-1.632584275370932,-0.4745451962498395,0.7676298785983874,248727,0.0160230236183252,147,False,False,True
40,1,0.8273772438659699,"Nicola-Yarred, Miss. Jamila",-1.0814804580274051,0.4327933656785018,-0.4736736092984604,2651,-0.422073540593508,147,False,False,False
291,1,-1.5661069258891576,"Barber, Miss. Ellen ""Nellie""",-0.254824732012115,-0.4745451962498395,-0.4736736092984604,19877,0.9391984311231651,147,False,False,True
301,1,0.8273772438659699,"Kelly, Miss. Anna Katherine ""Annie Kate""",,-0.4745451962498395,-0.4736736092984604,9234,-0.4923778278429006,147,False,True,False
334,0,0.8273772438659699,"Vander Planke, Mr. Leo Edmondus",-0.9437045036915236,1.340131927606843,-0.4736736092984604,345764,-0.2859972841804228,147,True,False,True
209,1,0.8273772438659699,"Carr, Miss. Helen ""Ellen""",-0.9437045036915236,-0.4745451962498395,-0.4736736092984604,367231,-0.4923778278429006,147,False,True,False
137,1,-1.5661069258891576,"Newsom, Miss. Helen Monypeny",-0.7370405721877009,-0.4745451962498395,2.008933366495236,11752,-0.1192156298077981,107,False,False,True
138,0,-1.5661069258891576,"Futrelle, Mr. Jacques Heath",0.5029430168352342,0.4327933656785018,-0.4736736092984604,113803,0.4207302360686478,55,True,False,True
697,0,0.8273772438659699,"Kelly, Mr. James",0.9851588570108202,-0.4745451962498395,-0.4736736092984604,363592,-0.4863374216869257,147,True,False,True
486,0,0.8273772438659699,"Lefebre, Miss. Jeannie",,2.247470489535184,0.7676298785983874,4133,-0.1356576153643619,147,False,False,True
245,0,0.8273772438659699,"Attalah, Mr. Sleiman",0.0207271766596483,-0.4745451962498395,-0.4736736092984604,2694,-0.5029485386158568,147,True,False,False
